Restaurant_id,Restaurant_name,city,Opening_hours,Restaurant_reviews
368,Zachariah PLC,Pune,10:00 AM - 11:00 PM,3.4
369,"Bassi, Madan and Krishna",Mumbai,10:00 AM - 11:00 PM,3.9
370,Garde-Garde,Ahmedabad,10:00 AM - 11:00 PM,3.1
371,"De, Ramesh and Deep",Ahmedabad,10:00 AM - 11:00 PM,3.8
372,Cherian Group,Ahmedabad,10:00 AM - 11:00 PM,4.0
373,"Ravel, Edwin and Choudhury",Kolkata,10:00 AM - 11:00 PM,4.8
374,"Char, Ben and Agate",Surat,10:00 AM - 11:00 PM,3.2
375,Basu-Shan,Delhi,10:00 AM - 11:00 PM,4.1
376,"Sahni, Ram and Bains",Chennai,10:00 AM - 11:00 PM,3.9
377,Samra Ltd,Ahmedabad,10:00 AM - 11:00 PM,3.8
378,Goyal-Dayal,Mumbai,10:00 AM - 11:00 PM,4.5
379,Bhandari LLC,Delhi,10:00 AM - 11:00 PM,2.8
380,Lall-Buch,Kolkata,10:00 AM - 11:00 PM,3.4
381,Sundaram Group,Surat,10:00 AM - 11:00 PM,3.8
382,Vala and Sons,Jaipur,10:00 AM - 11:00 PM,4.4
383,Bala-Loyal,Hyderabad,10:00 AM - 11:00 PM,3.4
384,Kibe-Rajagopal,Mumbai,10:00 AM - 11:00 PM,4.9
385,"Dhar, Hayer and Tata",Pune,10:00 AM - 11:00 PM,4.0
386,Ganesan Ltd,Pune,10:00 AM - 11:00 PM,2.9
387,"Chopra, Varughese and Solanki",Surat,10:00 AM - 11:00 PM,3.5
388,"Wali, Deo and Vig",Jaipur,10:00 AM - 11:00 PM,3.3
389,Loke LLC,Jaipur,10:00 AM - 11:00 PM,3.8
390,Sankaran-Jaggi,Bangalore,10:00 AM - 11:00 PM,2.7
391,"Anand, Sawhney and Deol",Mumbai,10:00 AM - 11:00 PM,4.7
392,"Sen, Hegde and Gera",Surat,10:00 AM - 11:00 PM,3.2
393,Thakkar and Sons,Hyderabad,10:00 AM - 11:00 PM,3.9
394,Tara-Mall,Hyderabad,10:00 AM - 11:00 PM,4.2
395,"Arora, Gaba and Batra",Delhi,10:00 AM - 11:00 PM,4.0
396,Kara-Sen,Jaipur,10:00 AM - 11:00 PM,4.8
397,Raval-Madan,Hyderabad,10:00 AM - 11:00 PM,4.4
398,"Goel, Sundaram and Sagar",Jaipur,10:00 AM - 11:00 PM,3.7
399,"Sampath, Babu and Varty",Chennai,10:00 AM - 11:00 PM,2.9
400,Raj-Bumb,Bangalore,10:00 AM - 11:00 PM,4.6
401,"Chhabra, Bhattacharyya and Bandi",Jaipur,10:00 AM - 11:00 PM,2.8
402,Sethi-Srinivas,Hyderabad,10:00 AM - 11:00 PM,3.9
403,Golla-Kalla,Surat,10:00 AM - 11:00 PM,3.4
404,"Sastry, Gokhale and Bhattacharyya",Chennai,10:00 AM - 11:00 PM,4.3
405,Solanki Group,Surat,10:00 AM - 11:00 PM,4.6
406,"Mani, Tata and Dey",Ahmedabad,10:00 AM - 11:00 PM,4.2
407,Ganguly-Shere,Bangalore,10:00 AM - 11:00 PM,4.4
408,"Lata, Vig and Gour",Pune,10:00 AM - 11:00 PM,3.5
409,Mannan and Sons,Delhi,10:00 AM - 11:00 PM,2.9
410,Dara Group,Ahmedabad,10:00 AM - 11:00 PM,2.8
411,Bava-Yogi,Chennai,10:00 AM - 11:00 PM,2.8
412,Madan-Barman,Mumbai,10:00 AM - 11:00 PM,3.4
413,Kalla-Mall,Kolkata,10:00 AM - 11:00 PM,4.5
414,"Baria, Agarwal and Sharma",Pune,10:00 AM - 11:00 PM,4.8
415,"Goda, Wali and Divan",Delhi,10:00 AM - 11:00 PM,3.3
416,"Gera, Jaggi and Randhawa",Ahmedabad,10:00 AM - 11:00 PM,4.9
417,"Sandhu, Bhatt and Lad",Bangalore,10:00 AM - 11:00 PM,3.4
418,"Borah, Choudhry and Korpal",Chennai,10:00 AM - 11:00 PM,4.5
419,Kapur-Kale,Hyderabad,10:00 AM - 11:00 PM,4.4
420,"Shetty, Desai and Sheth",Bangalore,10:00 AM - 11:00 PM,2.6
421,Chakrabarti-Sarma,Jaipur,10:00 AM - 11:00 PM,4.9
422,Sule Inc,Chennai,10:00 AM - 11:00 PM,2.5
423,Virk Inc,Pune,10:00 AM - 11:00 PM,4.7
424,Gokhale-Goyal,Ahmedabad,10:00 AM - 11:00 PM,4.1
425,Cheema-Soman,Kolkata,10:00 AM - 11:00 PM,2.9
426,Iyengar-Kota,Kolkata,10:00 AM - 11:00 PM,4.2
427,Basu-Kade,Jaipur,10:00 AM - 11:00 PM,4.8
428,"Dayal, Lalla and Sastry",Bangalore,10:00 AM - 11:00 PM,4.6
429,Mannan-Dass,Chennai,10:00 AM - 11:00 PM,3.9
430,"Mani, Bhakta and Khatri",Delhi,10:00 AM - 11:00 PM,4.6
431,Baria-Acharya,Ahmedabad,10:00 AM - 11:00 PM,3.5
432,Chander-Ben,Hyderabad,10:00 AM - 11:00 PM,2.8
433,"Sethi, Master and Bava",Ahmedabad,10:00 AM - 11:00 PM,4.7
434,"Kurian, Kala and Kala",Hyderabad,10:00 AM - 11:00 PM,4.6
435,Dyal-Bora,Surat,10:00 AM - 11:00 PM,4.8
436,"Grewal, Badami and Kalla",Surat,10:00 AM - 11:00 PM,4.5
437,Sachdev-Mani,Hyderabad,10:00 AM - 11:00 PM,2.7
438,"Sahota, Walla and Raj",Surat,10:00 AM - 11:00 PM,3.2
439,"Thakkar, Agrawal and Yogi",Pune,10:00 AM - 11:00 PM,4.8
440,Chana-Chowdhury,Chennai,10:00 AM - 11:00 PM,4.1
441,Baria Group,Kolkata,10:00 AM - 11:00 PM,3.5
442,Sodhi Ltd,Chennai,10:00 AM - 11:00 PM,4.6
443,Chandra-Malhotra,Jaipur,10:00 AM - 11:00 PM,2.7
444,Chhabra Group,Delhi,10:00 AM - 11:00 PM,4.5
445,Talwar-Uppal,Ahmedabad,10:00 AM - 11:00 PM,3.9
446,Vohra Ltd,Jaipur,10:00 AM - 11:00 PM,2.8
447,"Bhatnagar, Chaudhary and Dua",Surat,10:00 AM - 11:00 PM,5.0
448,Deep Group,Kolkata,10:00 AM - 11:00 PM,4.2
449,Varughese-Ravi,Pune,10:00 AM - 11:00 PM,2.8
450,Gopal LLC,Jaipur,10:00 AM - 11:00 PM,4.7
451,Tank-Sathe,Surat,10:00 AM - 11:00 PM,4.5
452,Jain-Dhaliwal,Mumbai,10:00 AM - 11:00 PM,4.1
453,Madan PLC,Pune,10:00 AM - 11:00 PM,2.6
454,Amble-Bera,Surat,10:00 AM - 11:00 PM,3.9
455,Salvi Group,Hyderabad,10:00 AM - 11:00 PM,4.2
456,Sachdeva-Tiwari,Surat,10:00 AM - 11:00 PM,3.4
457,"Krishna, Mahajan and Yohannan",Pune,10:00 AM - 11:00 PM,3.6
458,Kuruvilla-Krishna,Chennai,10:00 AM - 11:00 PM,4.7
459,"Korpal, Edwin and Baral",Bangalore,10:00 AM - 11:00 PM,2.9
460,Kashyap-Dewan,Surat,10:00 AM - 11:00 PM,3.5
461,"Sengupta, Deshpande and Kaur",Mumbai,10:00 AM - 11:00 PM,2.7
462,"Tandon, Choudhury and Karpe",Bangalore,10:00 AM - 11:00 PM,4.1
463,Apte-Thaker,Bangalore,10:00 AM - 11:00 PM,2.8
464,"Bora, Rastogi and Sagar",Chennai,10:00 AM - 11:00 PM,4.2
465,Chhabra LLC,Pune,10:00 AM - 11:00 PM,4.9
466,Baria-Yohannan,Pune,10:00 AM - 11:00 PM,3.6
467,"Rama, Apte and Bhagat",Chennai,10:00 AM - 11:00 PM,2.8
468,"Virk, Kalla and Jayaraman",Bangalore,10:00 AM - 11:00 PM,3.7
469,Yohannan-Dugar,Bangalore,10:00 AM - 11:00 PM,3.1
470,Bobal-Sankaran,Ahmedabad,10:00 AM - 11:00 PM,3.8
471,"Khatri, D’Alia and Dey",Ahmedabad,10:00 AM - 11:00 PM,3.4
472,Tak Ltd,Surat,10:00 AM - 11:00 PM,2.5
473,Bhandari-Swamy,Delhi,10:00 AM - 11:00 PM,4.6
474,"Khare, Sangha and Kari",Kolkata,10:00 AM - 11:00 PM,4.0
475,Krishna and Sons,Delhi,10:00 AM - 11:00 PM,4.5
476,Karpe-Upadhyay,Pune,10:00 AM - 11:00 PM,2.5
477,"D’Alia, Sabharwal and Iyengar",Delhi,10:00 AM - 11:00 PM,3.7
478,"Saran, Tak and Korpal",Bangalore,10:00 AM - 11:00 PM,4.2
479,Chand-Sandhu,Hyderabad,10:00 AM - 11:00 PM,3.6
480,Subramanian-Bora,Ahmedabad,10:00 AM - 11:00 PM,4.0
481,"Bhat, Dasgupta and Magar",Mumbai,10:00 AM - 11:00 PM,2.7
482,Ghose Group,Surat,10:00 AM - 11:00 PM,3.7
483,Bali Inc,Pune,10:00 AM - 11:00 PM,2.9
484,"Datta, Balay and Bath",Hyderabad,10:00 AM - 11:00 PM,4.2
485,Kalla LLC,Mumbai,10:00 AM - 11:00 PM,4.6
486,Buch PLC,Hyderabad,10:00 AM - 11:00 PM,3.0
487,Jhaveri LLC,Hyderabad,10:00 AM - 11:00 PM,3.8
488,Sabharwal Inc,Surat,10:00 AM - 11:00 PM,3.1
489,Sarna-Mandal,Bangalore,10:00 AM - 11:00 PM,4.4
490,Mall and Sons,Ahmedabad,10:00 AM - 11:00 PM,3.2
491,"Bhattacharyya, Ramaswamy and Seth",Ahmedabad,10:00 AM - 11:00 PM,2.8
492,Rajagopal-Golla,Chennai,10:00 AM - 11:00 PM,4.6
493,Bajwa LLC,Delhi,10:00 AM - 11:00 PM,4.1
494,Gopal-Bansal,Pune,10:00 AM - 11:00 PM,2.5
495,Ratti-Varkey,Delhi,10:00 AM - 11:00 PM,2.7
496,"Sathe, Goswami and Dhar",Pune,10:00 AM - 11:00 PM,4.0
497,De PLC,Jaipur,10:00 AM - 11:00 PM,4.9
498,Khurana and Sons,Bangalore,10:00 AM - 11:00 PM,4.8
499,"Borah, Dutt and Ranganathan",Surat,10:00 AM - 11:00 PM,3.2
500,"Sastry, Borde and Dutta",Kolkata,10:00 AM - 11:00 PM,2.7
